   2: C    ==> opls_139              CT    <=== HEAD_CHANGED Good: 100  No 1  Pat "[CH0X4]"
  38: C    ==> opls_136              CT    <=== TAIL_CHANGED Good: 100  No 1  Pat "[CH2X4]"
