   601: H    ==> opls_140            HC     <===  HEAD_REMOVE  Good: 100  No 1  Pat "[#1]C
   602: C    ==> opls_137            CT     <===  HEAD_CHANGE  Good: 100  No 1  Pat "[CHX4][#1]
   603: C    ==> opls_135            CT     <===               Good: 100  No 1  Pat "[CH3X4]
   604: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   605: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   606: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   607: C    ==> opls_465            C_2    <===               Good: 150  No 1  Pat "C(=O)-O-C
   608: O    ==> opls_466            O_2    <===               Good: 150  No 2  Pat "C(=O)-O-C
   609: O    ==> opls_467            OS     <===               Good: 150  No 3  Pat "C(=O)-O-C
   610: C    ==> opls_490            CT     <===               Good: 135  No 2  Pat "C-[CH2]-O-C(=O)-C
   611: H    ==> opls_469            HC     <===               Good: 135  No 2  Pat "C([#1])-O-C(=O)
   612: H    ==> opls_469            HC     <===               Good: 135  No 2  Pat "C([#1])-O-C(=O)
   613: C    ==> opls_908            CT     <===               Good: 130  No 2  Pat "C-[CH2]-[NX4](C)(C)(C)
   614: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   615: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   616: N    ==> opls_288b           N3     <===               MOD:  APS; 145  No 2  Pat "C-[NX4](C)(C)(C)
   617: C    ==> opls_905            CT     <===               Good: 130  No 1  Pat "[CH3]-N(C)(C)
   618: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   619: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   620: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   621: C    ==> opls_905            CT     <===               Good: 130  No 1  Pat "[CH3]-N(C)(C)
   622: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   623: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   624: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   625: C    ==> opls_908            CT     <===               Good: 130  No 2  Pat "C-[CH2]-[NX4](C)(C)(C)
   626: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   627: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   628: C    ==> opls_136            CT     <===               Good: 100  No 1  Pat "[CH2X4]
   629: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   630: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   631: C    ==> opls_136            CT     <===               Good: 100  No 1  Pat "[CH2X4]
   632: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   633: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   634: S    ==> opls_S2_SPE         S2     <===               ADD:  APS; 10.1021/jp204046
   635: O    ==> opls_O2_SPE         O2     <===               ADD:  APS; 10.1021/jp204046
   636: O    ==> opls_O2_SPE         O2     <===               ADD:  APS; 10.1021/jp204046
   637: O    ==> opls_O2_SPE         O2     <===               ADD:  APS; 10.1021/jp204046
   638: C    ==> opls_135            CT     <===  TAIL_CHANGE  Good: 100  No 1  Pat "[CH3X4]
   639: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   640: H    ==> opls_140            HC     <===               Good: 100  No 1  Pat "[#1]C
   641: H    ==> opls_140            HC     <===  TAIL_REMOVE  Good: 100  No 1  Pat "[#1]C
   642: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   643: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   644: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   645: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   646: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   647: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   648: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   649: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   650: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   651: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   652: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   653: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   654: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   655: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   656: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   657: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   658: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   659: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   660: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   661: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   662: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   663: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   664: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   665: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   666: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   667: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   668: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   669: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   670: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   671: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   672: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   673: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   674: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   675: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   676: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   677: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   678: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   679: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   680: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   681: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   682: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   683: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   684: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   685: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   686: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   687: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   688: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   689: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   690: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   691: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   692: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   693: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   694: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   695: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   696: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   697: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   698: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   699: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   700: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   701: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   702: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   703: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   704: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   705: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   706: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   707: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   708: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   709: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   710: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   711: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   712: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   713: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   714: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   715: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   716: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   717: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   718: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   719: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   720: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   721: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   722: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   723: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   724: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   725: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   726: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   727: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   728: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   729: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   730: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   731: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   732: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   733: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   734: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   735: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   736: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   737: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   738: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   739: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   740: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   741: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   742: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   743: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   744: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   745: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   746: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   747: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   748: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   749: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   750: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   751: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   752: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   753: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   754: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   755: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   756: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   757: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   758: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   759: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   760: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   761: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   762: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   763: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   764: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   765: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   766: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   767: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   768: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   769: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   770: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   771: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   772: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   773: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   774: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   775: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   776: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   777: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   778: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   779: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   780: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   781: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   782: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   783: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   784: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   785: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   786: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   787: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   788: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   789: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   790: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   791: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   792: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   793: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   794: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   795: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   796: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   797: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   798: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   799: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   800: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   801: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   802: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   803: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   804: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   805: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   806: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   807: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   808: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   809: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   810: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   811: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   812: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   813: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   814: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   815: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   816: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   817: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   818: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   819: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   820: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   821: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   822: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   823: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   824: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   825: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   826: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   827: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   828: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   829: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   830: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   831: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   832: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   833: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   834: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   835: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   836: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   837: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   838: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   839: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   840: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   841: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   842: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   843: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   844: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   845: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   846: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   847: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   848: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   849: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   850: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   851: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   852: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   853: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   854: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   855: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   856: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   857: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   858: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   859: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   860: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   861: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   862: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   863: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   864: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   865: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   866: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   867: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   868: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   869: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   870: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   871: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   872: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   873: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   874: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   875: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   876: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   877: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   878: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   879: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   880: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   881: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   882: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   883: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   884: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   885: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   886: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   887: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   888: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   889: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   890: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   891: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   892: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   893: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   894: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   895: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   896: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   897: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   898: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   899: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   900: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   901: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   902: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   903: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   904: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   905: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   906: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   907: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   908: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   909: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   910: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   911: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   912: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   913: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   914: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   915: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   916: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   917: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   918: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   919: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   920: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   921: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   922: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   923: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   924: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   925: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   926: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   927: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   928: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   929: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   930: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   931: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   932: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   933: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   934: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   935: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   936: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   937: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   938: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   939: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   940: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   941: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   942: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   943: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   944: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   945: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   946: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   947: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   948: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   949: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   950: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   951: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   952: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   953: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   954: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
