    72: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    73: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    74: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    75: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    76: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    77: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    78: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    79: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    80: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    81: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    82: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    83: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    84: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    85: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    86: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    87: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    88: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    89: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    90: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    91: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    92: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    93: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    94: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    95: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    96: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    97: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
    98: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
    99: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   100: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   101: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   102: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   103: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   104: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   105: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   106: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   107: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   108: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   109: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   110: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   111: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   112: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   113: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   114: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   115: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   116: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   117: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   118: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   119: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   120: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   121: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   122: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   123: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   124: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   125: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   126: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   127: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   128: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   129: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   130: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   131: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   132: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   133: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   134: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   135: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   136: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   137: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   138: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   139: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   140: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   141: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   142: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   143: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   144: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   145: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   146: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   147: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   148: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   149: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   150: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   151: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   152: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   153: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   154: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   155: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   156: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   157: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   158: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   159: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   160: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   161: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   162: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   163: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   164: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   165: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   166: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   167: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   168: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   169: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   170: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   171: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   172: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   173: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   174: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   175: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   176: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   177: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   178: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   179: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   180: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   181: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   182: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   183: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   184: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   185: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   186: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   187: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   188: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   189: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   190: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
