   117: C    ==> opls_145            CA     <=== 	Good
   118: C    ==> opls_145            CA     <=== 	Good
   119: C    ==> opls_145            CA     <=== 	Good
   120: H    ==> opls_146            HA     <=== 	Good
   121: C    ==> opls_145            CA     <=== 	Good
   122: H    ==> opls_146            HA     <=== 	Good
   123: C    ==> opls_145            CA     <=== 	Good
   124: H    ==> opls_146            HA     <=== 	Good
   125: H    ==> opls_146            HA     <=== 	Good
   126: O    ==> opls_180            OS     <=== 	Good
   127: C    ==> opls_182            CT     <=== 	Good
   128: C    ==> opls_158            CT     <=== 	Good
   129: H    ==> opls_185            HC     <=== 	Good
   130: H    ==> opls_185            HC     <=== 	Good
   131: O    ==> opls_154            OH     <=== 	Good
   132: C    ==> opls_135            CT     <=== 	Good
   133: H    ==> opls_140            HC     <=== 	Good
   134: H    ==> opls_140            HC     <=== 	Good
   135: H    ==> opls_140            HC     <=== 	Good
   136: H    ==> opls_140            HC     <=== 	Good
   137: H    ==> opls_140            HC     <=== 	Good
   138: H    ==> opls_140            HC     <=== 	Good
   139: H    ==> opls_140            HC     <=== 	Good
   140: H    ==> opls_155            HO     <=== 	Good
   141: H    ==> opls_155            HO     <=== 	Goo
   142: H    ==> opls_140            HC     <=== 	Good
   143: C    ==> opls_135            CT     <=== 	Good
   144: O    ==> opls_154            OH     <=== 	Good
   145: C    ==> opls_158            CT     <=== 	Good
   146: H    ==> opls_140            HC     <=== 	Good
   147: C    ==> opls_182            CT     <=== 	Good
   148: H    ==> opls_140            HC     <=== 	Good
   149: O    ==> opls_180            OS     <=== 	Good
   150: H    ==> opls_185            HC     <=== 	Good
   151: H    ==> opls_185            HC     <=== 	Good
   152: C    ==> opls_145            CA     <=== 	Good
   153: C    ==> opls_145            CA     <=== 	Good
   154: C    ==> opls_145            CA     <=== 	Good
   155: C    ==> opls_145            CA     <=== 	Good
   156: H    ==> opls_146            HA     <=== 	Good
   157: C    ==> opls_145            CA     <=== 	Good
   158: H    ==> opls_146            HA     <=== 	Good
   159: C    ==> opls_145            CA     <=== 	Good
   160: H    ==> opls_146            HA     <=== 	Good
   161: H    ==> opls_146            HA     <=== 	Good
   162: C    ==> opls_149            CT     <=== 	Good
   163: C    ==> opls_145            CA     <=== 	Good
   164: C    ==> opls_145            CA     <=== 	Good
   165: C    ==> opls_145            CA     <=== 	Good
   166: C    ==> opls_145            CA     <=== 	Good
   167: H    ==> opls_146            HA     <=== 	Good
   168: C    ==> opls_145            CA     <=== 	Good
   169: H    ==> opls_146            HA     <=== 	Good
   170: C    ==> opls_145            CA     <=== 	Good
   171: H    ==> opls_146            HA     <=== 	Good
   172: H    ==> opls_146            HA     <=== 	Good
   173: O    ==> opls_180            OS     <=== 	Good
   174: C    ==> opls_182            CT     <=== 	Good
   175: C    ==> opls_158            CT     <=== 	Good
   176: H    ==> opls_185            HC     <=== 	Good
   177: H    ==> opls_185            HC     <=== 	Good
   178: O    ==> opls_154            OH     <=== 	Good
   179: C    ==> opls_135            CT     <=== 	Good
   180: H    ==> opls_140            HC     <=== 	Good
   181: H    ==> opls_140            HC     <=== 	Good
   182: H    ==> opls_140            HC     <=== 	Good
   183: H    ==> opls_140            HC     <=== 	Good
   184: H    ==> opls_140            HC     <=== 	Good
   185: H    ==> opls_140            HC     <=== 	Good
   186: H    ==> opls_140            HC     <=== 	Good
   187: H    ==> opls_155            HO     <=== 	Good
   188: H    ==> opls_155            HO     <=== 	Goo
   189: H    ==> opls_140            HC     <=== 	Good
   190: C    ==> opls_135            CT     <=== 	Good
   191: O    ==> opls_154            OH     <=== 	Good
   192: C    ==> opls_158            CT     <=== 	Good
   193: H    ==> opls_140            HC     <=== 	Good
   194: C    ==> opls_182            CT     <=== 	Good
   195: H    ==> opls_140            HC     <=== 	Good
   196: O    ==> opls_180            OS     <=== 	Good
   197: H    ==> opls_185            HC     <=== 	Good
   198: H    ==> opls_185            HC     <=== 	Good
   199: C    ==> opls_145            CA     <=== 	Good
   200: C    ==> opls_145            CA     <=== 	Good
   201: C    ==> opls_145            CA     <=== 	Good
   202: C    ==> opls_145            CA     <=== 	Good
   203: H    ==> opls_146            HA     <=== 	Good
   204: C    ==> opls_145            CA     <=== 	Good
   205: H    ==> opls_146            HA     <=== 	Good
   206: C    ==> opls_145            CA     <=== 	Good
   207: H    ==> opls_146            HA     <=== 	Good
   208: H    ==> opls_146            HA     <=== 	Good
   209: C    ==> opls_149            CT     <=== 	Good
   210: C    ==> opls_145            CA     <=== 	Good
   211: C    ==> opls_145            CA     <=== 	Good
   212: C    ==> opls_145            CA     <=== 	Good
   213: C    ==> opls_145            CA     <=== 	Good
   214: H    ==> opls_146            HA     <=== 	Good
   215: C    ==> opls_145            CA     <=== 	Good
   216: H    ==> opls_146            HA     <=== 	Good
   217: C    ==> opls_145            CA     <=== 	Good
   218: H    ==> opls_146            HA     <=== 	Good
   219: H    ==> opls_146            HA     <=== 	Good
   220: O    ==> opls_180            OS     <=== 	Good
   221: C    ==> opls_182            CT     <=== 	Good
   222: C    ==> opls_158            CT     <=== 	Good
   223: H    ==> opls_185            HC     <=== 	Good
   224: H    ==> opls_185            HC     <=== 	Good
   225: O    ==> opls_154            OH     <=== 	Good
   226: C    ==> opls_135            CT     <=== 	Good
   227: H    ==> opls_140            HC     <=== 	Good
   228: H    ==> opls_140            HC     <=== 	Good
